Company,Instagram,Followers,High_Volume_Lead
Almarai,https://www.instagram.com/almarai/,Error,No
Nando's UAE,https://www.instagram.com/nandosuae/reels/,Error,No
Dominos UAE,https://www.instagram.com/dominosuae/,Error,No
Hunter Foods,https://www.instagram.com/huntersgourmetofficial/,Error,No
Samsung Gulf,https://www.instagram.com/samsunggulf/reels/,Error,No
Virgin Mobile UAE,https://www.instagram.com/virginmobileuae/,Error,No
Noon,https://www.instagram.com/noon_uae/,Error,No
Dubai Design District (d3),https://www.instagram.com/dubaidesigndistrict(d3)/,Error,No
Global Village,https://www.instagram.com/globalvillageuae/reels/,Error,No
Museum of the Future,https://www.instagram.com/museumofthefuture/,Error,No
